R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.6363636363636362,0.35378197545890616,3.921148148826341,1.2887372618638206,0.032055,0.028965,0.5253195673549655,20,200000
0.6363636363636362,5.369556048958255,6.147393532251068,2.6000088383275797,0.255915,0.364935,0.41220101473785936,20,200000
0.6363636363636362,0.6192805140941735,0.6540138830211102,4.828834894012858,0.262975,0.370215,0.4153176771585148,20,200000
0.6363636363636362,1.799414672410532,2.6261586374438193,1.0525904485178437,0.03122,0.029695,0.5125174423376837,20,200000
0.6363636363636362,4.599123681266235,3.876413006501821,4.922263799206357,0.23627,0.401435,0.3705004665166496,20,200000
0.6363636363636362,6.054598830281441,0.444627432649699,0.9035465684830734,0.23251,0.402595,0.3660969445997118,20,200000
0.6363636363636362,3.2656953410430707,2.5737428961638815,4.754278050601418,0.240615,0.40559,0.3723508793649074,20,200000
0.6363636363636362,5.658981320068025,2.7563202819954777,5.790102938257476,0.27777,0.360785,0.4349977683989633,20,200000
0.6363636363636362,4.987499677874874,4.003386035580131,1.5581569987578296,0.274595,0.36228,0.43115996074582924,20,200000
0.6363636363636362,3.733331660455533,2.180087136721052,5.4111854741301615,0.257545,0.36076,0.41653391125738914,20,200000
0.6363636363636362,4.247155615392982,4.1397587608363065,3.41989481042007,0.246865,0.37998,0.39382143911174217,20,200000
0.6363636363636362,0.9602161644563172,4.672031898674907,3.0156392285507554,0.263605,0.36587,0.41876960959529763,20,200000
0.6363636363636362,1.309691391933714,1.6377455577522286,2.1554976018769443,0.25241,0.39643,0.38901732322298255,20,200000
0.6363636363636362,5.0645235853813535,5.525190342107692,4.84993122090928,0.24767,0.400755,0.38195627867525156,20,200000
0.6363636363636362,5.3456867742958245,4.686235926364047,0.5989011606858886,0.24369,0.40681,0.374619523443505,20,200000
0.6363636363636362,0.2571071977188196,1.0202374687575488,0.5982012361636392,0.282365,0.353695,0.44392824576297835,20,200000
0.6363636363636362,5.269771726228998,5.225731398052156,5.309931127412164,0.235935,0.39173,0.37589319143173505,20,200000
0.6363636363636362,0.8576552859944558,3.121945969696701,0.06523040899844372,0.23141,0.393645,0.3702234203390102,20,200000
0.6363636363636362,5.110152067975843,4.172693404282872,5.416216336121258,0.23905,0.39859,0.374898061602158,20,200000
0.6363636363636362,4.352506441176546,1.20620906114015,4.773839343354788,0.24641,0.384755,0.39040504463967424,20,200000
0.6363636363636362,2.5516867447337734,5.60365325203409,4.013451158372029,0.24773,0.385995,0.39091088405854274,20,200000
0.6363636363636362,2.8171413831134267,0.6349068771558274,1.1586061362762157,0.221985,0.371815,0.37383799259009765,20,200000
0.6363636363636362,2.174254511508746,4.920046198882958,4.418205672577988,0.23634,0.38976,0.37747963584092,20,200000
0.6363636363636362,2.704615506455284,5.388530263404863,5.532250247820383,0.270735,0.366535,0.42483562697129945,20,200000
0.6363636363636362,4.6891865985615695,4.561444297079506,1.467759529646223,0.259235,0.36543,0.4149984391633916,20,200000
0.6363636363636362,3.3071566797056025,5.422060837450755,1.4762795286017227,0.25179,0.391415,0.3914615091611539,20,200000
0.6363636363636362,4.573015573838542,5.234417830037934,3.6686905016941878,0.2009,0.39895,0.3349170625989831,20,200000
0.6363636363636362,0.8400131893434771,0.09507142404872615,4.493874328617859,0.23514,0.39309,0.3742896709803734,20,200000
0.6363636363636362,5.461013710796917,3.9387174439018877,1.5934850021348261,0.2516,0.36847,0.4057606399277501,20,200000
0.6363636363636362,4.686843513808536,4.190348068596898,3.3607465262139575,0.21893,0.411025,0.3475327602765277,20,200000
0.6363636363636362,3.6000379297370597,4.804811824486059,2.8967664978570618,0.259245,0.359105,0.4192528503274845,20,200000
0.6363636363636362,0.006608989959027457,1.5525360424305616,4.579144358400942,0.241865,0.364625,0.39879470395224986,20,200000
0.6363636363636362,2.5643048066338796,0.2714707525385569,0.20562256278958754,0.22926,0.35684,0.3911619177614742,20,200000
0.6363636363636362,2.3219571459709885,1.6504659538950157,0.06065126760363186,0.218995,0.403025,0.3520706729687148,20,200000
0.6363636363636362,3.356820701823208,5.503505488293522,2.0541609693531586,0.233635,0.36816,0.3882302112845737,20,200000
0.6363636363636362,3.8343423429231995,4.95295416639651,0.02223656110734436,0.24785,0.38241,0.39325040459492905,20,200000
0.6363636363636362,1.1809783539250729,4.051698930954989,2.916183474570102,0.22809,0.377935,0.37637061177344167,20,200000
0.6363636363636362,5.292321243143961,1.0648401673258845,2.4103165446840857,0.256735,0.349565,0.4234454890318324,20,200000
0.6363636363636362,3.2398267789353885,1.6667949033378404,3.10507003096627,0.232575,0.37393,0.3834675724025359,20,200000
0.6363636363636362,5.302558912206472,0.2895315242484638,3.440804434860745,0.23541,0.378295,0.38358820605991484,20,200000
