phi0,phi1,phi2,phi3,phi4,P_IFM,P_bomb,eta,N,nsamples
5.399065955,2.924479488,1.965169101,4.536321053,0.145017687,0.02462,0.11593,0.175168979,20,200000
5.326018794,2.903681194,5.517481485,3.369450536,3.385465813,0.063155,0.615445,0.093066608,20,200000
2.118175454,2.766896583,0.026863974,2.433333959,0.455041396,0.06624,0.61648,0.09702367,20,200000
1.877723871,2.424490234,1.086079687,5.738294243,5.215809056,0.06737,0.593905,0.101878946,20,200000
5.151686874,1.292143706,5.230827983,4.537655181,5.925258593,0.06321,0.599235,0.095419242,20,200000
3.649914548,5.211801167,2.417060436,4.784507888,0.336383594,0.07932,0.594625,0.117695064,20,200000
0.730762237,1.197455732,3.598002274,2.870623979,5.884307007,0.06619,0.6159,0.09703998,20,200000
2.036062635,0.14596646,2.825259068,2.302330884,3.756949854,0.06014,0.61385,0.089229811,20,200000
0.373671422,4.827076258,4.94206606,1.587145679,3.650319158,0.08166,0.628155,0.115044061,20,200000
5.134694225,5.459198961,4.587005912,5.724949216,5.812786424,0.064325,0.608145,0.095654825,20,200000
2.211558705,5.438260793,5.007571168,1.202365134,5.993021494,0.067895,0.607495,0.100527103,20,200000
4.05603833,5.846048679,4.737818295,0.841255023,5.025102253,0.072275,0.601405,0.107283874,20,200000
1.65424679,1.550473315,3.554378099,1.66347445,1.09445606,0.05844,0.61324,0.087005717,20,200000
3.721794403,2.974590136,3.19282312,5.632887055,1.859509893,0.095765,0.591455,0.139351299,20,200000
2.046550443,5.772042643,4.603288348,2.454349337,2.663995884,0.024285,0.11566,0.173532459,20,200000
6.04076526,1.112711113,0.585947576,2.720552656,1.270168181,0.075505,0.642195,0.105204124,20,200000
4.56369038,0.754790489,2.609897196,6.173694427,0.39913841,0.080115,0.612845,0.115612734,20,200000
6.156242021,1.886647703,4.344963539,1.348606411,5.758928396,0.060245,0.61887,0.088711043,20,200000
0.497978458,4.182798164,1.188244592,5.881680843,4.887594986,0.072695,0.585205,0.110495516,20,200000
4.070542014,2.218807113,2.892476668,3.290904709,4.405131951,0.073095,0.61883,0.105640062,20,200000
5.766658606,0.323767486,6.191211866,0.84593305,2.460628665,0.06625,0.61447,0.097323422,20,200000
2.514385246,3.118433338,2.088090586,3.054851005,3.489968548,0.06135,0.609085,0.091507752,20,200000
4.3666775,4.076253834,1.703909572,0.978742151,6.200032593,0.06343,0.595325,0.096287694,20,200000
0.587780163,0.381528545,4.282120048,0.812527034,3.960139619,0.067725,0.602555,0.101039864,20,200000
6.032064601,5.203165233,0.375175021,5.16132136,5.227592659,0.024865,0.114165,0.178846292,20,200000
0.089841933,1.859876894,0.156054529,2.1746648,0.883813596,0.065265,0.599785,0.098135479,20,200000
3.803014205,5.581799129,4.354596268,0.345683872,5.698649434,0.06042,0.593005,0.092466618,20,200000
5.500003688,0.177991603,4.210767826,5.387462127,2.499047829,0.060495,0.62359,0.088431993,20,200000
5.237127049,2.593870298,4.275546077,5.780617235,3.143780652,0.075385,0.59963,0.111679,20,200000
4.918753814,1.898684117,6.186931847,2.410501035,3.59627711,0.07012,0.59606,0.105256837,20,200000
6.005946548,3.431110872,2.939961143,0.332357369,4.14058662,0.071485,0.59415,0.107393692,20,200000
5.248626762,3.782544664,5.214168486,0.574615654,6.013358846,0.079825,0.61062,0.115613843,20,200000
6.186480682,2.468996815,1.591576898,3.446073644,2.12282666,0.064025,0.616045,0.09414472,20,200000
5.812930542,2.718883446,5.477176672,0.626807545,3.902124619,0.067955,0.58479,0.104106504,20,200000
6.211311144,1.824585682,1.491191493,4.916903544,5.495406214,0.07239,0.612885,0.105636423,20,200000
0.969608533,5.33133424,0.399709314,4.124189516,4.529729798,0.07143,0.63135,0.101639204,20,200000
3.265484226,4.888524399,3.930250059,4.086960147,1.507356236,0.06775,0.595085,0.102212466,20,200000
2.340480025,2.604355881,3.305421619,1.91551308,1.238719425,0.06834,0.61109,0.100584313,20,200000
2.798743055,0.919442958,3.241981587,0.025621176,3.987035371,0.064215,0.63149,0.092302053,20,200000
4.739644546,4.319442687,0.451032073,5.897392984,2.583637438,0.071235,0.62511,0.10229843,20,200000
